"State","Geography","county_fips","Race","Religion","Sexual_Orientation","Disability","Gender","Gender_Identity","Gender_both","Total","Median_Income","White_Income","White_Diff","Gini","Unemployment","LFPR","AvgYears","Density"
"Kentucky","Anderson County, Kentucky",21005,1,0,0,0,0,0,0,1,53513,54186,673,0.3906,7.4,78.2507919123842,15.214629258517,106.1
"Kentucky","Barren County, Kentucky",21009,2,0,1,0,0,0,0,4,39034,39733,699,0.439,7.6,72.662279040404,14.6188808811531,86.5
"Kentucky","Boone County, Kentucky",21015,1,0,1,0,0,0,0,3,69165,70412,1247,0.4111,5.3,81.5091557739849,15.9826450639618,482.3
"Kentucky","Bourbon County, Kentucky",21017,0,1,0,0,0,0,0,1,44232,47138,2906,0.4553,7.7,74.2205831408776,14.9176453634988,69
"Kentucky","Boyd County, Kentucky",21019,1,1,0,0,0,0,0,2,44140,44438,298,0.5091,8.5,61.7887719837186,15.4147472071865,309.9
"Kentucky","Bracken County, Kentucky",21023,0,0,0,1,0,0,0,1,35887,35819,-68,0.4612,8.8,73.3644772727273,14.6579501579502,41.3
"Kentucky","Breckinridge County, Kentucky",21027,1,0,0,0,0,0,0,1,43390,43964,574,0.4111,10.3,66.6655192475516,14.3757121223048,35.4
"Kentucky","Bullitt County, Kentucky",21029,7,0,0,0,0,0,0,7,58702,59727,1025,0.3813,6.7,77.7736376470588,14.9941985307968,250.2
"Kentucky","Calloway County, Kentucky",21035,1,1,0,0,0,0,0,2,36692,38567,1875,0.4985,6.9,72.3294645458253,15.5860335195531,96.6
"Kentucky","Campbell County, Kentucky",21037,2,1,1,0,0,0,0,5,56772,58153,1381,0.4468,5.8,79.3512446019718,15.8162604783636,597
"Kentucky","Christian County, Kentucky",21047,6,0,0,0,0,0,0,6,40253,44689,4436,0.4498,10.4,69.2683501184834,15.1280166137541,103.1
"Kentucky","Clark County, Kentucky",21049,3,0,0,0,0,0,0,3,49069,50811,1742,0.4416,6.9,73.5048286685849,15.041831792162,141.1
"Kentucky","Daviess County, Kentucky",21059,5,1,0,0,0,0,0,6,46675,49070,2395,0.4491,6.5,74.1639111586199,15.3459586452011,210.9
"Kentucky","Fayette County, Kentucky",21067,26,9,4,1,1,0,1,45,50661,57990,7329,0.4962,6.4,79.784085441423,16.3289647895035,1042.8
"Kentucky","Franklin County, Kentucky",21073,3,2,0,0,0,0,0,5,50999,53139,2140,0.4087,7.8,76.4454729350065,15.4751015235736,237.2
"Kentucky","Garrard County, Kentucky",21079,1,0,0,0,0,0,0,1,46373,46961,588,0.4319,8.9,71.7291702772964,14.5782392026578,73.5
"Kentucky","Graves County, Kentucky",21083,2,0,0,0,0,0,0,2,40268,42139,1871,0.4633,8.4,70.9935023017091,14.8068374718724,67.3
"Kentucky","Hardin County, Kentucky",21093,4,0,1,0,0,1,1,6,51541,51051,-490,0.4207,7.6,75.690507988239,15.5705269801199,169.3
